id;full_name;birth_day;ded_day
1;Maryland;2023-03-19T09:49:39;2023-03-19T13:54:00
2;demand-driven Principal;2023-03-19T14:57:38;2023-03-19T14:39:50
3;AI;2023-03-20T03:25:29;2023-03-19T09:22:25
4;Generic;2023-03-19T13:25:58;2023-03-19T15:51:53
5;Analyst;2023-03-20T03:58:27;2023-03-20T07:52:36
6;payment;2023-03-19T18:52:48;2023-03-19T12:27:39
7;Money;2023-03-19T20:24:48;2023-03-20T06:21:30
8;Kong SQL;2023-03-19T12:46:44;2023-03-19T22:27:47
9;client-server;2023-03-19T10:08:44;2023-03-20T07:12:21
10;backing Data Investment;2023-03-19T14:11:51;2023-03-19T23:46:41
