id;description;name;location;opening_time;close_time
1;Mobility;Computer mesh azure;Music Mississippi circuit;2023-03-20T01:17:46;2023-03-19T09:19:42
2;quantify virtual grid-enabled;indigo sensor Movies;Customer middleware Tuna;2023-03-20T00:50:52;2023-03-19T10:53:20
3;SDD cross-platform;Hawaii grey;mindshare benchmark Automotive;2023-03-19T14:36:11;2023-03-20T03:42:57
4;Fantastic Dynamic;synergistic synthesize Generic;USB Steel;2023-03-20T04:43:43;2023-03-19T12:11:17
5;Frozen;Peso;Global;2023-03-19T19:13:38;2023-03-19T18:49:40
6;Liaison systems;Borders Guyana Terrace;Chief;2023-03-19T16:38:51;2023-03-19T22:51:10
7;index Plastic;viral Plastic;Intelligent withdrawal;2023-03-19T12:44:54;2023-03-19T15:28:12
8;Cotton Dinar Bedfordshire;Lats monitoring;Algeria;2023-03-19T11:21:30;2023-03-19T14:29:21
9;deposit Executive;Intelligent Mississippi TCP;Leone Administrator Awesome;2023-03-20T09:01:06;2023-03-19T22:07:13
10;withdrawal;deposit;Crescent;2023-03-19T19:41:32;2023-03-20T05:44:07
