id;name;description;building
1;Car;Designer Dynamic Manager;Fresh magenta groupware
2;synthesizing Account;Steel e-commerce Cheese;SQL solution asymmetric
3;Soft capacitor secondary;Polarised Manager deposit;Macao Bosnia
4;deposit blue;Croatian;Unbranded bleeding-edge
5;Regional;Dynamic Intuitive;Granite Bulgarian
6;invoice Beauty Account;digital interactive;systematic
7;asymmetric Mayotte Home;Jewelery;West Toys
8;bandwidth;Steel Outdoors;cutting-edge
9;calculating Books;withdrawal;Investment
10;reintermediate pink;leading;reintermediate
